timestamp,hour,day_of_week,zone_id,zone_name,zone_type,lat,lon,traffic_index,aqi,energy_kwh,water_liters,transport_ridership
2026-03-06T10:35:43.940035,0,Friday,Z1, Sitabuldi,commercial,21.1444,79.0832,9.0,85.5,175.9,281.8,5
2026-03-06T10:35:43.940035,0,Friday,Z2,Gandhibagh,industrial,21.1528,79.1026,3.1,161.5,930.7,122.4,52
2026-03-06T10:35:43.940035,0,Friday,Z3,Dharampeth,residential,21.1399,79.0607,1.3,55.4,99.7,86.9,0
2026-03-06T10:35:43.940035,0,Friday,Z4,Sadar,commercial,21.161,79.076,0.5,68.2,162.6,87.4,0
2026-03-06T10:35:43.940035,0,Friday,Z5,MIDC Hingna,industrial,21.0963,78.9839,16.7,150.7,902.7,50.0,0
2026-03-06T10:35:43.940035,0,Friday,Z6,Kamptee Road,commercial,21.2,79.12,5.9,70.9,165.0,111.9,2
2026-03-06T10:35:43.940035,0,Friday,Z7,Manish Nagar,residential,21.0931,79.0617,0.2,82.4,89.5,155.4,69
2026-03-06T10:35:43.940035,0,Friday,Z8,Wathoda,industrial,21.1458,79.135,0.0,142.5,821.6,53.7,31
2026-03-06T11:35:43.940035,1,Friday,Z1, Sitabuldi,commercial,21.1444,79.0832,10.9,90.8,145.4,135.9,0
2026-03-06T11:35:43.940035,1,Friday,Z2,Gandhibagh,industrial,21.1528,79.1026,0.0,134.5,942.3,187.5,0
2026-03-06T11:35:43.940035,1,Friday,Z3,Dharampeth,residential,21.1399,79.0607,7.6,61.5,62.9,288.9,81
2026-03-06T11:35:43.940035,1,Friday,Z4,Sadar,commercial,21.161,79.076,12.5,79.9,137.6,186.5,78
2026-03-06T11:35:43.940035,1,Friday,Z5,MIDC Hingna,industrial,21.0963,78.9839,1.2,138.7,855.7,64.3,68
2026-03-06T11:35:43.940035,1,Friday,Z6,Kamptee Road,commercial,21.2,79.12,15.8,91.8,190.1,188.9,0
2026-03-06T11:35:43.940035,1,Friday,Z7,Manish Nagar,residential,21.0931,79.0617,7.9,84.8,88.6,365.2,0
2026-03-06T11:35:43.940035,1,Friday,Z8,Wathoda,industrial,21.1458,79.135,11.6,150.3,888.0,167.3,0
2026-03-06T12:35:43.940035,2,Friday,Z1, Sitabuldi,commercial,21.1444,79.0832,3.2,86.9,209.1,118.5,0
2026-03-06T12:35:43.940035,2,Friday,Z2,Gandhibagh,industrial,21.1528,79.1026,1.0,151.8,913.2,117.6,50
2026-03-06T12:35:43.940035,2,Friday,Z3,Dharampeth,residential,21.1399,79.0607,5.8,76.2,61.9,213.8,0
2026-03-06T12:35:43.940035,2,Friday,Z4,Sadar,commercial,21.161,79.076,0.0,83.6,160.4,160.4,5
